Sex,Year,Age,People
1,2000,0,9735380
1,2000,5,10552146
1,2000,10,10563233
1,2000,15,10237419
1,2000,20,9731315
1,2000,25,9659493
1,2000,30,10205879
1,2000,35,11475182
1,2000,40,11320252
1,2000,45,9925006
1,2000,50,8507934
1,2000,55,6459082
1,2000,60,5123399
1,2000,65,4453623
1,2000,70,3792145
1,2000,75,2912655
1,2000,80,1902638
1,2000,85,970357
1,2000,90,336303
